2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '106'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '52'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '52'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '105'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '105'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '104'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '104'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '103'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '103'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '102'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '102'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '100'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '100'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '94'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '94'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '93'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '93'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '92'}
2025-08-28 17:51:08 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '92'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '91'}
